"Regio's";"Perioden";"aantal";"aantal inwoners per km²";"km²"
"Waadhoeke";"2020";"46090";"162";"284,86"
"Waalre";"2020";"17456";"780";"22,39"
"Waalwijk";"2020";"48637";"753";"64,58"
"Waddinxveen";"2020";"29291";"1055";"27,77"
"Wageningen";"2020";"39664";"1304";"30,42"
"Warmond";"2020";"";"";""
"Warnsveld";"2020";"";"";""
"Waspik";"2020";"";"";""
"Wassenaar";"2020";"26305";"515";"51,11"
"Wateringen";"2020";"";"";""
"Waterland";"2020";"17424";"334";"52,11"
"Weerselo";"2020";"";"";""
"Weert";"2020";"50105";"480";"104,32"
"Weesp";"2020";"19738";"866";"22,79"
"Wehl";"2020";"";"";""
"Werkendam";"2020";"";"";""
"Wervershoof";"2020";"";"";""
"West Betuwe";"2020";"51128";"237";"216,12"
"West Maas en Waal";"2020";"19324";"252";"76,76"
"Westerbork";"2020";"";"";""
"Westerhoven";"2020";"";"";""
"Wester-Koggenland";"2020";"";"";""
"Westerkwartier";"2020";"63329";"175";"362,69"
"Westerschouwen";"2020";"";"";""
"Westerveld";"2020";"19460";"70";"278,35"
"Westervoort";"2020";"14971";"2130";"7,03"
"Westerwolde";"2020";"25733";"93";"275,67"
"Westkapelle";"2020";"";"";""
"Westland";"2020";"110375";"1358";"81,27"
"Weststellingwerf";"2020";"25914";"118";"220,30"
"Westvoorne";"2020";"14731";"277";"53,18"
"Wierden";"2020";"24446";"258";"94,63"
"Wieringen";"2020";"";"";""
"Wieringermeer";"2020";"";"";""
"Wijchen";"2020";"41110";"621";"66,18"
"Wijdemeren";"2020";"24358";"512";"47,60"
"Wijhe";"2020";"";"";""
"De Wijk";"2020";"";"";""
"Wijk bij Duurstede";"2020";"23914";"502";"47,62"
"Willemstad";"2020";"";"";""
"Winschoten";"2020";"";"";""
"Winsum";"2020";"";"";""
"Winterswijk";"2020";"28854";"209";"138,14"
"Wisch";"2020";"";"";""
"Wittem";"2020";"";"";""
"Woensdrecht";"2020";"21876";"239";"91,66"
"Woerden";"2020";"52299";"590";"88,57"
"Wognum";"2020";"";"";""
"De Wolden";"2020";"24330";"108";"224,55"
"Wormerland";"2020";"16270";"422";"38,59"
"Woudenberg";"2020";"13362";"366";"36,53"
"Woudrichem";"2020";"";"";""
"Wouw";"2020";"";"";""
"Wûnseradiel";"2020";"";"";""
"Wymbritseradiel";"2020";"";"";""
"Zaanstad";"2020";"156794";"2123";"73,87"
"Zaltbommel";"2020";"28881";"364";"79,38"
"Zandvoort";"2020";"17116";"533";"32,12"
"Zederik";"2020";"";"";""
"Zeevang";"2020";"";"";""
"Zeewolde";"2020";"22653";"92";"247,23"
"Zeist";"2020";"64905";"1338";"48,51"
"Zelhem";"2020";"";"";""
"Zevenaar";"2020";"43750";"472";"92,60"
"Zevenbergen";"2020";"";"";""
"Zevenhuizen-Moerkapelle";"2020";"";"";""
"Zierikzee";"2020";"";"";""
"Zijpe";"2020";"";"";""
"Zoetermeer";"2020";"125285";"3637";"34,45"
"Zoeterwoude";"2020";"8605";"406";"21,19"
"Zuidhorn";"2020";"";"";""
"Zuidlaren";"2020";"";"";""
"Zuidplas";"2020";"43885";"756";"58,02"
"Zuidwolde";"2020";"";"";""
"Zundert";"2020";"21829";"181";"120,65"
"Zutphen";"2020";"47934";"1170";"40,95"
"Zwartewaterland";"2020";"22685";"275";"82,49"
"Zwartsluis";"2020";"";"";""
"Zweeloo";"2020";"";"";""
"Zwijndrecht";"2020";"44737";"2204";"20,30"
"Zwolle";"2020";"128840";"1160";"111,10"
